"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2020","UAB",66.96,280,65.7172,302,99.2564,207,100.815,205,98.4905,128,102.137,173,-1.32201,189
"2020","UC Davis",67.8454,241,68.0317,194,103.13,128,104.662,140,106.172,298,109.434,311,-4.77297,225
"2020","UC Irvine",68.4075,218,67.7452,212,104.75,93,105.387,121,96.2217,72,99.2728,109,6.11417,106
"2020","UC Riverside",64.1215,347,63.1813,347,97.274,252,95.7888,294,96.6047,82,99.7583,118,-3.96943,211
"2020","UC Santa Barbara",64.8551,337,64.4937,335,107.009,55,106.097,106,101.602,199,105.337,242,0.760614,160
"2020","UCF",68.6785,197,67.8251,208,99.409,204,103.509,162,98.0421,116,98.6341,98,4.87505,117
"2020","UCLA",66.2988,302,64.8902,325,103.624,114,109.321,51,101.127,190,99.3998,112,9.9215,78
"2020","UMass Lowell",70.8211,78,70.2989,72,103.482,119,104.43,144,107.379,313,113.576,337,-9.14602,275
"2020","UMBC",67.315,265,66.8064,255,96.816,262,97.8013,258,101.87,211,105.732,252,-7.93059,256
"2020","UMKC",65.6081,324,64.8577,327,98.5213,221,97.5065,263,101.912,215,103.597,199,-6.09038,235
"2020","UNC Asheville",70.8021,79,71.0355,51,103.824,110,98.7175,243,106.687,305,110.328,318,-11.6103,302
"2020","UNC Greensboro",68.5877,205,67.7799,210,103.374,121,103.656,160,92.8727,18,95.5357,58,8.12046,92
"2020","UNC Wilmington",68.4302,216,68.5107,165,92.3646,330,92.0866,337,104.715,276,104.488,219,-12.4013,312
"2020","UNLV",67.2785,266,67.0103,247,104.349,101,107.878,74,101.756,207,100.602,133,7.27573,98
"2020","USC",70.0418,119,68.9116,139,99.314,206,104.333,145,93.0122,21,91.9863,18,12.3471,55
"2020","USC Upstate",69.3456,156,69.209,128,97.1799,255,95.5041,295,108.523,323,110.847,320,-15.3425,325
"2020","UT Arlington",68.6659,198,67.7368,214,100.431,184,102.263,180,99.1798,145,98.3903,95,3.8726,130
"2020","UT Rio Grande Valley",70.4603,99,70.4301,66,98.7364,218,98.659,244,103.368,247,105.981,256,-7.32239,249
"2020","Utah",67.5801,252,66.6777,260,102.279,143,106.318,100,103.2,243,100.762,135,5.55623,114
"2020","Utah St.",67.9827,234,67.3859,229,107.971,38,109.55,49,94.1144,35,94.6283,48,14.9218,41
"2020","Utah Valley",70.2908,111,70.3657,69,96.8253,261,96.4763,277,101.519,197,104.215,215,-7.73909,253
"2020","UTEP",68.4027,219,67.484,224,95.6348,290,96.9045,273,96.0945,66,98.1822,89,-1.27771,188
"2020","UTSA",73.0312,30,72.8029,24,101.197,168,104.178,149,106.07,296,108.02,293,-3.84241,210
"2020","Valparaiso",69.2153,164,69.2753,123,101.948,151,104.535,141,101.576,198,102.472,181,2.06317,146
"2020","Vanderbilt",69.9587,120,69.447,109,101.362,161,104.676,139,106.339,301,104.534,221,0.141966,169
"2020","VCU",69.2247,162,69.0245,134,101.735,155,104.697,138,93.8446,28,94.4047,45,10.2925,73
"2020","Vermont",66.5457,298,66.2954,273,106.457,62,106.483,98,90.1213,8,96.3839,68,10.0991,76
"2020","Villanova",67.5894,251,66.237,275,107.753,44,113.938,15,98.2506,121,93.9608,36,19.9767,18
"2020","Virginia",60.2535,353,59.4466,353,93.5872,319,99.2868,234,85.9232,1,85.0621,1,14.2247,42
"2020","Virginia Tech",66.146,311,65.476,309,101.281,164,104.302,147,98.3544,126,97.9768,82,6.325,105
"2020","VMI",68.697,196,67.9254,203,100.493,181,100.17,215,106.595,303,108.129,296,-7.95948,257
"2020","Wagner",68.7626,192,67.4857,223,97.1952,254,97.2851,266,109.582,330,113.928,339,-16.6428,329
"2020","Wake Forest",70.7893,81,70.1407,79,101.912,152,108.685,61,104.001,263,101.983,166,6.70177,103
"2020","Washington",70.2792,113,69.7585,96,99.8809,197,105.793,112,93.8997,30,93.1262,31,12.6667,54
"2020","Washington St.",71.063,71,70.7507,59,97.4856,243,102.223,182,97.3527,102,97.9984,83,4.22427,127
"2020","Weber St.",67.8923,236,67.6329,216,95.4927,294,98.8188,241,107.198,312,107.912,291,-9.09337,273
"2020","West Virginia",69.4052,148,69.4182,112,100.871,172,108.323,67,89.537,4,87.0641,3,21.2585,10
"2020","Western Carolina",72.3034,41,71.4828,43,106.563,60,107.333,83,104.898,277,106.297,263,1.0364,156
"2020","Western Illinois",72.0063,45,71.3126,44,99.0455,212,98.2742,250,114.705,349,114.951,343,-16.6764,330
"2020","Western Kentucky",69.5161,144,68.3191,176,106.287,63,108.865,56,101.676,203,103.304,196,5.56158,113
"2020","Western Michigan",68.4126,217,67.3916,228,97.4309,248,99.3702,232,105.015,278,105.724,251,-6.35337,237
"2020","Wichita St.",70.6299,88,69.5498,101,100.723,177,105.598,117,89.7036,5,90.4087,8,15.1892,39
"2020","William & Mary",67.8762,239,67.4962,222,104.338,103,103.308,167,103.655,252,105.479,244,-2.17176,195
"2020","Winthrop",71.6569,55,71.8972,36,108.902,26,104.736,136,98.3437,125,102.082,169,2.65391,140
"2020","Wisconsin",64.4533,340,63.6602,342,103.625,113,110.8,40,96.2834,73,91.8542,17,18.9453,22
"2020","Wofford",66.5775,296,65.9001,293,104.261,105,104.473,142,102.414,228,103.389,197,1.08417,154
"2020","Wright St.",73.1397,28,72.1341,31,107.929,39,104.886,132,96.2096,71,101.418,157,3.46872,133
"2020","Wyoming",67.4462,260,66.6912,258,90.7106,339,94.0944,322,102.912,237,100.886,139,-6.79123,246
"2020","Xavier",69.2043,167,68.1023,191,100.323,186,106.138,103,96.1653,69,92.2389,20,13.8992,45
"2020","Yale",67.8879,237,67.4126,227,106.158,67,107.942,73,94.3325,37,96.3674,67,11.5741,58
"2020","Youngstown St.",67.9725,235,66.4226,269,103.493,118,102.96,173,104.425,269,108.55,303,-5.58962,232
